Date : 2024-05-08 14:04:42
Directory : /Users/carterrath/Documents/Fall2023/SE490/ServerlessOrchestrator
Total : 134 files,  14215 codes, 438 comments, 816 blanks, all 15469 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
+--------------------+------------+------------+------------+------------+------------+
| JSON               |          6 |      8,581 |          0 |          6 |      8,587 |
| Go                 |         35 |      2,201 |        381 |        520 |      3,102 |
| TypeScript JSX     |         30 |      2,090 |         49 |        205 |      2,344 |
| SVG                |         38 |        661 |          0 |         14 |        675 |
| Go Checksum File   |          1 |        264 |          0 |          1 |        265 |
| YAML               |          3 |        127 |          3 |         21 |        151 |
| Go Module File     |          1 |         84 |          0 |          5 |         89 |
| JavaScript         |          3 |         61 |          1 |          3 |         65 |
| TypeScript         |         11 |         59 |          2 |         14 |         75 |
| Markdown           |          3 |         50 |          0 |         22 |         72 |
| JSON with Comments |          1 |         21 |          2 |          3 |         26 |
| HTML               |          1 |         13 |          0 |          1 |         14 |
| CSS                |          1 |          3 |          0 |          1 |          4 |
+--------------------+------------+------------+------------+------------+------------+

Directories
+-------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                                | files      | code       | comment    | blank      | total      |
+-------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                                   |        134 |     14,215 |        438 |        816 |     15,469 |
| . (Files)                                                                                                                           |          8 |      2,068 |          5 |         34 |      2,107 |
| .github                                                                                                                             |          2 |        104 |          2 |         18 |        124 |
| .github/workflows                                                                                                                   |          2 |        104 |          2 |         18 |        124 |
| application                                                                                                                         |         18 |      1,091 |        191 |        253 |      1,535 |
| application (Files)                                                                                                                 |          1 |         76 |         31 |         12 |        119 |
| application/dockerhub                                                                                                               |          1 |         79 |         13 |         25 |        117 |
| application/elasticcontainerservice                                                                                                 |          1 |         77 |          0 |          6 |         83 |
| application/github                                                                                                                  |          1 |         33 |          5 |         11 |         49 |
| application/microholder                                                                                                             |          1 |          1 |          0 |          1 |          2 |
| application/routes                                                                                                                  |         10 |        506 |         82 |        122 |        710 |
| application/routes/microservice                                                                                                     |          2 |         70 |          9 |         20 |         99 |
| application/routes/runmicroservice                                                                                                  |          1 |         25 |          6 |          8 |         39 |
| application/routes/stopmicroservice                                                                                                 |          1 |         23 |          5 |         10 |         38 |
| application/routes/users                                                                                                            |          6 |        388 |         62 |         84 |        534 |
| application/services                                                                                                                |          3 |        319 |         60 |         76 |        455 |
| business                                                                                                                            |          6 |         44 |          7 |         15 |         66 |
| dataaccess                                                                                                                          |          3 |        268 |         45 |         61 |        374 |
| presentation                                                                                                                        |         89 |      9,872 |         54 |        253 |     10,179 |
| presentation (Files)                                                                                                                |         10 |      7,064 |          4 |         21 |      7,089 |
| presentation/src                                                                                                                    |         79 |      2,808 |         50 |        232 |      3,090 |
| presentation/src (Files)                                                                                                            |          3 |         18 |          2 |          6 |         26 |
| presentation/src/assets                                                                                                             |         39 |        664 |          0 |         15 |        679 |
| presentation/src/assets/styles                                                                                                      |          1 |          3 |          0 |          1 |          4 |
| presentation/src/assets/svg                                                                                                         |         38 |        661 |          0 |         14 |        675 |
